,course_enrolled,discoverccm_tv,discoverccm_radio,info_ccm_admissions,decision_programs,participate_open_house,decision_oldcollege,decisioncomp_other,discoverccm_socialmedia,info_ccm_website,participate_festival,discoverccm_billboard,decisioncomp_family_job,participate_decision_day,participate_college_fair,decision_online_offerings,discoverccm_other,decisioncomp_dual_enrollment,decision_financialaid,decision_reputation,discoverccm_web,participate_summer_camp,age,participate_hs_campus_visit,info_ccm_workforce_dev,decisioncomp_hs_computing,info_nj_development,decision_transfer_credits,discoverccm_employer,decision_location_convenience,decision_affordable,decisioncomp_work,gender,info_employer,decisioncomp__hs_club,participate_challenger,decisioncomp_employer,discoverccm_student,discoverccm_inapp,race_ethnicity,discoverccm_hs_counselor,decisioncomp_influence,decisioncomp_ap_class,info_hs_counselor,decision_ccmstaff,participate_on_campus_session,participate_hs_info_session,decision_njstars_program,additional_comp_classes,decision_hs_credit,decision_class_sizes,info_hs_teacher,reason,discoverccm_relative,decisioncomp_afterschool_camp,participate_workforce,discoverccm_hs_teacher,decisioncomp_summer_camp,info_ccm_counselor,discoverccm_web,decisioncomp_hs_staff,discoverccm_community,participate_campus_visit,decisioncomp_ccmstudent,decision_opportunities,comp_first_choice,decision_transfer_4yr,participate_women_who_dare,participate_sharetime,info_other,degree,decision_scholarships,timestamp,participate_cybersecurity,participate_corporate_training,decision_referral,decisioncomp_stem,year
0,CMP 239 Internet & Web Page Design,No,Don't recall,No,Some Impact,No,,No Impact,Yes,Yes,No,Yes,No Impact,No,No,High Impact,Don't recall,No Impact,No Impact,Some Impact,Yes,No,21-24,No,No,No Impact,No,No Impact,No,High Impact,No Impact,No Impact,Man,No,No Impact,No,No Impact,Yes,No,Black/African American,No,High Impact,No Impact,No,No Impact,No,No,No Impact,,,No Impact,No,,Yes,No Impact,No,No,No Impact,Yes,No,No Impact,No,Yes,High Impact,No Impact,First Choice,High Impact,No,No,No,"Computer Science, Associate of Science",No Impact,2020-07-28 15:21:36-05:00,No,No,High Impact,No Impact,2020
1,CMP 239 Internet & Web Page Design,No,No,No,High Impact,Not Sure,No Impact,No Impact,No,Yes,No,No,Some Impact,Not Sure,No,High Impact,No,No Impact,High Impact,High Impact,Yes,No,25-34,No,No,No Impact,No,High Impact,No,High Impact,High Impact,No Impact,Woman,No,No Impact,No,No Impact,Yes,No,Multi-Racial,No,No Impact,No Impact,No,No Impact,Not Sure,No,No Impact,,No Impact,No Impact,No,,Yes,No Impact,No,No,No Impact,No,No,No Impact,No,Yes,Some Impact,No Impact,Nursing,High Impact,No,No,No,"Information Technology, Applied Associate of Science",No Impact,2020-07-28 16:07:22-05:00,No,No,No Impact,No Impact,2020
2,CMP 239 Internet & Web Page Design,No,No,Yes,High Impact,No,,,No,Yes,No,Yes,High Impact,No,No,High Impact,No,,High Impact,Some Impact,Yes,No,35-64,No,No,,No,,No,High Impact,High Impact,,Man,No,,No,,Yes,No,Hispanic or Latino,No,High Impact,,No,High Impact,No,No,,,,No Impact,No,,Yes,,No,No,,Yes,No,,No,No,,No Impact,First Choice,High Impact,No,No,No,"Information Technology, Applied Associate of Science",No Impact,2020-07-28 20:12:47-05:00,No,No,No Impact,,2020
3,CMP 239 Internet & Web Page Design,No,No,,Some Impact,No,No Impact,Some Impact,Yes,,No,No,High Impact,No,No,High Impact,No,No Impact,No Impact,No Impact,No,No,18 -,No,,Some Impact,,No Impact,No,High Impact,High Impact,Some Impact,Woman,,Some Impact,No,No Impact,No,No,Asian,Yes,High Impact,High Impact,,No Impact,No,No,No Impact,4.0,No Impact,No Impact,,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Yes,No Impact,No,Yes,No Impact,,No,No Impact,Yes,No,No Impact,No Impact,,High Impact,No,No,,Non Degree seeking,No Impact,2020-07-29 10:53:03-05:00,No,No,No Impact,No Impact,2020
4,CMP 239 Internet & Web Page Design,No,No,Yes,High Impact,No,No Impact,High Impact,No,Yes,No,No,No Impact,No,No,High Impact,No,No Impact,High Impact,Some Impact,Yes,No,25-34,No,No,No Impact,No,High Impact,No,High Impact,High Impact,No Impact,Man,No,No Impact,No,No Impact,No,No,White/Caucasian,No,High Impact,No Impact,No,Some Impact,No,No,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,No,No Impact,Yes,No,No Impact,No,Yes,No Impact,Some Impact,First Choice,High Impact,No,No,No,"Computer Science, Associate of Science",No Impact,2020-07-29 16:26:21-05:00,No,No,No Impact,No Impact,2020
5,CMP 239 Internet & Web Page Design,No,No,Yes,Some Impact,Yes,No Impact,No Impact,No,Yes,No,No,High Impact,No,No,No Impact,No,,Some Impact,High Impact,Yes,No,19-20,No,No,High Impact,No,No Impact,No,Some Impact,High Impact,No Impact,Man,No,,No,No Impact,Yes,No,White/Caucasian,Yes,High Impact,High Impact,Yes,Some Impact,Yes,No,No Impact,,No Impact,No Impact,No,,Yes,,No,Yes,,Don't recall,Yes,High Impact,No,Yes,Some Impact,Some Impact,First Choice,High Impact,No,No,Yes,"Computer Science, Associate of Science",Some Impact,2020-07-30 13:10:46-05:00,No,No,Some Impact,Some Impact,2020
6,CMP 239 Internet & Web Page Design,Yes,Yes,Yes,High Impact,No,No Impact,No Impact,Yes,Yes,No,Yes,No Impact,No,No,High Impact,No,No Impact,No Impact,Some Impact,Yes,No,35-64,No,No,Some Impact,No,Some Impact,No,High Impact,High Impact,Some Impact,Woman,No,No Impact,No,No Impact,No,No,White/Caucasian,Yes,Some Impact,No Impact,No,No Impact,No,No,No Impact,,No Impact,No Impact,No,,Yes,No Impact,No,Yes,No Impact,No,No,No Impact,No,Yes,No Impact,No Impact,completed a degree in Business Administration,No Impact,No,No,No,Web Development Certificate of Achievement,No Impact,2020-07-30 18:01:39-05:00,No,No,No Impact,No Impact,2020
7,CMP 239 Internet & Web Page Design,No,No,Yes,High Impact,No,,,Don't recall,Yes,No,No,Some Impact,No,No,Some Impact,No,Some Impact,High Impact,High Impact,Yes,No,25-34,No,Don't recall,Some Impact,Don't recall,Some Impact,No,High Impact,,Some Impact,Man,No,Some Impact,No,Some Impact,Yes,Don't recall,White/Caucasian,Don't recall,Some Impact,Some Impact,No,Some Impact,No,No,Some Impact,,,Some Impact,No,,Yes,,No,Don't recall,Some Impact,Yes,Don't recall,Some Impact,Don't recall,No,Some Impact,Some Impact,First Choice,High Impact,No,No,Don't recall,"Information Technology, Applied Associate of Science",Some Impact,2020-07-30 19:58:48-05:00,No,No,High Impact,Some Impact,2020
8,CMP 239 Internet & Web Page Design,No,No,No,Some Impact,No,No Impact,No Impact,Yes,No,No,No,Some Impact,No,No,Some Impact,No,No Impact,Some Impact,Some Impact,Yes,No,21-24,No,No,No Impact,No,No Impact,No,High Impact,High Impact,No Impact,Man,No,No Impact,No,No Impact,Yes,No,Asian,No,Some Impact,No Impact,No,No Impact,No,No,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,No,No Impact,No,No,No Impact,No,No,No Impact,No Impact,undecided ,No Impact,No,No,No,"Information Technology, Applied Associate of Science",Some Impact,2020-07-31 13:58:09-05:00,No,No,Some Impact,No Impact,2020
9,CMP 239 Internet & Web Page Design,Yes,Yes,No,No Impact,No,No Impact,No Impact,Yes,No,No,Yes,No Impact,No,No,No Impact,Yes,No Impact,No Impact,No Impact,Yes,No,21-24,No,No,No Impact,No,No Impact,Yes,No Impact,No Impact,No Impact,Man,No,No Impact,No,No Impact,Yes,Yes,Asian,Yes,No Impact,No Impact,No,No Impact,No,No,No Impact,,No Impact,No Impact,No,,Yes,No Impact,No,Yes,No Impact,No,Yes,No Impact,Yes,No,No Impact,No Impact,First Choice,No Impact,No,No,No,"Computer Science, Associate of Science",No Impact,2020-08-02 19:04:38-05:00,No,No,No Impact,No Impact,2020
